CITY_CODE;CITY_NAME;TOTAL_VOTERS;ISSUED_VOTES;VALID_VOTES;PARTIES
513032;Kamennı Most;356;197;196;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Èeská pirátská strana|Unie H.A.V.E.L.|Referendum o Evropské unii|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|Èeská strana národnì sociální|SPORTOVCI|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532053;Kladno;53652;29228;29034;Obèanská demokratická strana|Øád národa - Vlastenecká unie|CESTA ODPOVÌDNÉ SPOLEÈNOSTI|Èeská str.sociálnì demokrat.|Radostné Èesko|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Blok proti islam.-Obran.domova|Obèanská demokratická aliance|Èeská pirátská strana|Unie H.A.V.E.L.|Referendum o Evropské unii|TOP 09|ANO 2011|Dobrá volba 2016|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|Èeská strana národnì sociální|REALISTÉ|SPORTOVCI|Dìlnic.str.sociální spravedl.|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532461;Klobuky;822;434;430;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Èeská pirátská strana|TOP 09|ANO 2011|Dobrá volba 2016|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|SPORTOVCI|Dìlnic.str.sociální spravedl.|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532479;Kmetinìves;228;137;136;Obèanská demokratická strana|Øád národa - Vlastenecká unie|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Èeská pirátská strana|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|SPORTOVCI|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532487;Knovíz;446;276;275;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Blok proti islam.-Obran.domova|Obèanská demokratická aliance|Èeská pirátská strana|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532495;Koleè;484;270;269;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|Strana svobodnıch obèanù|Èeská pirátská strana|TOP 09|ANO 2011|Dobrá volba 2016|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|Dìlnic.str.sociální spravedl.|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
535109;Královice;173;124;124;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|Strana svobodnıch obèanù|Èeská pirátská strana|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|Svob.a pø.dem.-T.Okamura (SPD)
571512;Kutrovice;89;52;52;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana svobodnıch obèanù|Èeská pirátská strana|TOP 09|ANO 2011|Svob.a pø.dem.-T.Okamura (SPD)
532517;Kvílice;63;39;39;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|Komunistická str.Èech a Moravy|Èeská pirátská strana|ANO 2011|Køes.demokr.unie-Ès.str.lid.|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532525;Kyšice;496;338;338;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Èeská pirátská strana|Unie H.A.V.E.L.|Referendum o Evropské unii|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|SPORTOVCI|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
541991;Lány;1626;1046;1032;Obèanská demokratická strana|Øád národa - Vlastenecká unie|Èeská str.sociálnì demokrat.|Radostné Èesko|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Blok proti islam.-Obran.domova|Obèanská demokratická aliance|Èeská pirátská strana|Unie H.A.V.E.L.|Referendum o Evropské unii|TOP 09|ANO 2011|Dobrá volba 2016|Køes.demokr.unie-Ès.str.lid.|Èeská strana národnì sociální|REALISTÉ|SPORTOVCI|Dìlnic.str.sociální spravedl.|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532533;Ledce;380;247;244;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Èeská pirátská strana|Unie H.A.V.E.L.|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|Svob.a pø.dem.-T.Okamura (SPD)
513041;Lhota;495;363;362;Obèanská demokratická strana|Øád národa - Vlastenecká unie|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Blok proti islam.-Obran.domova|Obèanská demokratická aliance|Èeská pirátská strana|Referendum o Evropské unii|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|SPORTOVCI|Dìlnic.str.sociální spravedl.|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
564150;Libochovièky;49;40;40;Obèanská demokratická strana|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Èeská pirátská strana|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|Svob.a pø.dem.-T.Okamura (SPD)
571601;Libovice;266;180;180;Obèanská demokratická strana|Øád národa - Vlastenecká unie|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Èeská pirátská strana|Referendum o Evropské unii|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|SPORTOVCI|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532576;Libušín;2410;1354;1348;Obèanská demokratická strana|Øád národa - Vlastenecká unie|CESTA ODPOVÌDNÉ SPOLEÈNOSTI|Èeská str.sociálnì demokrat.|Radostné Èesko|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Blok proti islam.-Obran.domova|Èeská pirátská strana|TOP 09|ANO 2011|Dobrá volba 2016|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|Èeská strana národnì sociální|REALISTÉ|SPORTOVCI|Dìlnic.str.sociální spravedl.|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532584;Lidice;425;333;331;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Blok proti islam.-Obran.domova|Obèanská demokratická aliance|Èeská pirátská strana|Referendum o Evropské unii|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|SPORTOVCI|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
571555;Lískı;90;66;65;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|Strana svobodnıch obèanù|Obèanská demokratická aliance|Èeská pirátská strana|TOP 09|ANO 2011|Svob.a pø.dem.-T.Okamura (SPD)
535095;Loucká;105;68;68;Obèanská demokratická strana|CESTA ODPOVÌDNÉ SPOLEÈNOSTI|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Èeská pirátská strana|TOP 09|ANO 2011|REALISTÉ|Svob.a pø.dem.-T.Okamura (SPD)
532622;Makotøasy;340;226;226;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Èeská pirátská strana|TOP 09|ANO 2011|Dobrá volba 2016|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|Svob.a pø.dem.-T.Okamura (SPD)
532631;Malé Kyšice;385;276;273;Obèanská demokratická strana|Øád národa - Vlastenecká unie|CESTA ODPOVÌDNÉ SPOLEÈNOSTI|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|Strana svobodnıch obèanù|Èeská pirátská strana|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
